indicator,region,unit,year,value,source
Age moyen à la procréation (AMP),TCHAD,Number,2009,29.9,INSEED - Demography
Espérance de vie femmes,TCHAD,Year,1993,54.5,INSEED - Demography
Espérance de vie femmes,TCHAD,Year,2009,53.4,INSEED - Demography
Espérance de vie hommes,TCHAD,Year,1993,47.0,INSEED - Demography
Espérance de vie hommes,TCHAD,Year,2009,51.6,INSEED - Demography
Espérance de vie totale,TCHAD,Year,1993,50.3,INSEED - Demography
Espérance de vie totale,TCHAD,Year,2009,52.4,INSEED - Demography
Espérance de vie totale,TCHAD,Year,2015,52.9,INSEED - Demography
Indice Synthétique de Fécondité (ISF),TCHAD,Child,1993,6.5,INSEED - Demography
Indice Synthétique de Fécondité (ISF),TCHAD,Child,1996,6.6,INSEED - Demography
Indice Synthétique de Fécondité (ISF),TCHAD,Child,2004,6.3,INSEED - Demography
Indice Synthétique de Fécondité (ISF),TCHAD,Child,2009,7.1,INSEED - Demography
Indice Synthétique de Fécondité (ISF),TCHAD,Child,2010,6.9,INSEED - Demography
Indice Synthétique de Fécondité (ISF),TCHAD,Child,2015,6.4,INSEED - Demography
Indice Synthétique de Fécondité (ISF),TCHAD,Child,2019,6.4,INSEED - Demography
Prévalence de la contraception (ensemble des méthodes),TCHAD,,2009,4.8,INSEED - Demography
Prévalence du VIH/SIDA dans la population adulte,TCHAD,Percent,2009,3.4,INSEED - Demography
Taux Brut de Mortalité (TBM),TCHAD,Percent,1993,16.3,INSEED - Demography
Taux Brut de Mortalité (TBM),TCHAD,Percent,2009,14.8,INSEED - Demography
Taux Brut de Mortalité (TBM),TCHAD,Percent,2015,13.6,INSEED - Demography
Taux Brut de Natalité (TBN),TCHAD,Percent,1993,40.9,INSEED - Demography
Taux Brut de Natalité (TBN),TCHAD,Percent,1996,48.0,INSEED - Demography
Taux Brut de Natalité (TBN),TCHAD,Percent,2004,45.0,INSEED - Demography
Taux Brut de Natalité (TBN),TCHAD,Percent,2009,49.6,INSEED - Demography
Taux Brut de Natalité (TBN),TCHAD,Percent,2015,47.9,INSEED - Demography
Taux Brut de Reproduction,TCHAD,Percent,2009,3.5,INSEED - Demography
Taux d'Accroissement Naturel(TAN),TCHAD,Percent,2009,3.6,INSEED - Demography
Taux d'Accroissement Naturel(TAN),TCHAD,Percent,2015,3.43,INSEED - Demography
Taux de Croissance annuelle(TC),TCHAD,Percent,2009,3.5,INSEED - Demography
Taux de Croissance annuelle(TC),TCHAD,Percent,2015,3.4,INSEED - Demography
Taux de Mortalité Infantile,TCHAD,Percent,1993,160.0,INSEED - Demography
Taux de Mortalité Infantile,TCHAD,Percent,1996,103.0,INSEED - Demography
Taux de Mortalité Infantile,TCHAD,Percent,2000,105.0,INSEED - Demography
Taux de Mortalité Infantile,TCHAD,Percent,2004,102.0,INSEED - Demography
Taux de Mortalité Infantile,TCHAD,Percent,2009,98.0,INSEED - Demography
Taux de Mortalité Infantile,TCHAD,Percent,2010,106.0,INSEED - Demography
Taux de Mortalité Infanto-Juvénile,TCHAD,Percent,1993,223.0,INSEED - Demography
Taux de Mortalité Infanto-Juvénile,TCHAD,Percent,1996,194.0,INSEED - Demography
Taux de Mortalité Infanto-Juvénile,TCHAD,Percent,2000,194.0,INSEED - Demography
Taux de Mortalité Infanto-Juvénile,TCHAD,Percent,2004,191.0,INSEED - Demography
Taux de Mortalité Infanto-Juvénile,TCHAD,Percent,2009,161.0,INSEED - Demography
Taux de Mortalité Infanto-Juvénile,TCHAD,Percent,2010,175.0,INSEED - Demography
Temps de doublement,TCHAD,,2009,19.0,INSEED - Demography
Couverture vaccinale contre l’hépatite B,TCHAD,Percent,2010,0.111,INSEED - Disease
